啊伟专业麻辣烫, 新中西街(近亚洲大酒店), 餐饮服务;餐饮相关场所;餐饮相关, 116.433315,39.931248, 116.439521,39.932623, 116.446060,39.938450
是不是啊小馆, 东四八条, 餐饮服务;中餐厅;四川菜(川菜), 116.411991,39.930710, 116.418230,39.932110, 116.424642,39.938305
啊啊啊, 草厂四条, 科教文化服务;培训机构;培训机构, 116.400649,39.894687, 116.406890,39.896090, 116.413282,39.902418
特殊同, 台基厂头条(近啊vs), 餐饮服务;咖啡厅;咖啡厅, 116.406340,39.904318, 116.412580,39.905720, 116.418980,39.911994
阿凡提, 朝内大街188号后拐棒胡同甲2号, 餐饮服务;中餐厅;清真菜馆, 116.418770,39.922106, 116.425000,39.923499, 116.431451,39.929583
阿兰菜馆, 永定门东街1, 餐饮服务;中餐厅;清真菜馆, 116.414271,39.872117, 116.420500,39.873512, 116.426962,39.879685
陈阿婆, 前门外大街54号, 餐饮服务;中餐厅;火锅店, 116.412972,39.889808, 116.419205,39.891205, 116.425649,39.897395
阿玛施, 西花市大街59, 购物服务;服装鞋帽皮具店;品牌服装店, 116.415937,39.896008, 116.422167,39.897403, 116.428622,39.903543
阿玛施, 东四南大街249号amass, 购物服务;服装鞋帽皮具店;品牌服装店, 116.411108,39.917631, 116.417346,39.919031, 116.423756,39.925240
阿竹蛋, 环贸新生活, 餐饮服务;中餐厅;中餐厅, 116.404444,39.964481, 116.410693,39.965886, 116.417097,39.972184
阿卜杜拉, 安定门内大街灵光胡同1号, 餐饮服务;中餐厅;清真菜馆, 116.401642,39.946305, 116.407890,39.947710, 116.414269,39.954026
阿依莲专卖店(崇文门店), 崇文门外大街40号搜秀城1楼(近羊市口), 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.413116,39.895128, 116.419349,39.896525, 116.425789,39.902711
阿火云南味道, 东四北大街东四三条西口轿子胡同52号, 餐饮服务;中餐厅;云贵菜, 116.410827,39.925176, 116.417066,39.926576, 116.423472,39.932788
